wwii_id,master_index_number,msndate,theater,naf,country_flying_mission,tgt_country_code,tgt_country,tgt_location,tgt_type,tgt_id,tgt_industry_code,tgt_industry,source_latitude,source_longitude,latitude,longitude,unit_id,mds,aircraft_name,msn_type,tgt_priority,tgt_priority_explanation,ac_attacking,altitude,altitude_feet,number_of_he,type_of_he,lbs_he,tons_of_he,number_of_ic,type_of_ic,lbs_ic,tons_of_ic,number_of_frag,type_of_frag,lbs_frag,tons_of_frag,total_lbs,total_tons,takeoff_base,takeoff_country,takeoff_latitude,takeoff_longitude,ac_lost,ac_damaged,ac_airborne,ac_dropping,time_over_target,sighting_method_code,sighting_explanation,bda,callsign,rounds_ammo,spares_return_ac,wx_fail_ac,mech_fail_ac,misc_fail_ac,target_comment,mission_comments,source,database_edit_comments,weapon_type,weapon_description
125641,102733.0,1944-06-06,ETO,9 AF,USA,7.0,FRANCE,ST LO,TACTICAL TARGETS,41252.0,80.0,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),4907,105,49.12,-1.08,,B24,B24,,1,PRIMARY TARGET,21.0,151.0,,,,,63.0,,,,,,,,,,63.0,,,,,,,21.0,21.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125642,205725.0,1944-06-06,ETO,9 AF,USA,7.0,FRANCE,ST LO,TACTICAL TARGETS,41252.0,80.0,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),4907,105,49.12,-1.08,,GB24,B24,,1,PRIMARY TARGET,21.0,151.0,,,,,63.0,,,,,,,,,,63.0,,,,,,,21.0,21.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125643,205891.0,1944-06-06,ETO,9 AF,USA,7.0,FRANCE,ST LO,TACTICAL TARGETS,41252.0,80.0,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),4907,105,49.12,-1.08,,B24,B24,,1,PRIMARY TARGET,21.0,151.0,,,,,63.0,,,,,,,,,,63.0,,,,,,,21.0,21.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125644,102684.0,1944-06-06,ETO,9 AF,USA,7.0,FRANCE,FALAISE,BATTLE APEA,13420.0,80.0,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),4854,12,48.9,-0.2,,B17,B17,,1,PRIMARY TARGET,24.0,150.0,,,,,72.0,,,,,,,,,,72.0,,,,,,,24.0,24.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125645,102689.0,1944-06-06,ETO,9 AF,USA,7.0,FRANCE,FALAISE,BATTLE APEA,13420.0,80.0,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),4854,12,48.9,-0.2,,B17,B17,,1,PRIMARY TARGET,21.0,150.0,,,,,21.0,,,,,,,,,,21.0,,,,,,,21.0,21.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125646,205685.0,1944-06-06,ETO,9 AF,USA,7.0,FRANCE,FALAISE,BATTLE APEA,13420.0,80.0,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),4854,12,48.9,-0.2,,GB17,B17,,1,PRIMARY TARGET,24.0,150.0,,,,,72.0,,,,,,,,,,72.0,,,,,,,24.0,24.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125647,205690.0,1944-06-06,ETO,9 AF,USA,7.0,FRANCE,FALAISE,BATTLE APEA,13420.0,80.0,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),4854,12,48.9,-0.2,,GB17,B17,,1,PRIMARY TARGET,21.0,150.0,,,,,21.0,,,,,,,,,,21.0,,,,,,,21.0,21.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125648,205848.0,1944-06-06,ETO,9 AF,USA,7.0,FRANCE,FALAISE,BATTLE APEA,13420.0,80.0,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),4854,12,48.9,-0.2,,B17,B17,,1,PRIMARY TARGET,24.0,150.0,,,,,72.0,,,,,,,,,,72.0,,,,,,,24.0,24.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125649,205853.0,1944-06-06,ETO,9 AF,USA,7.0,FRANCE,FALAISE,BATTLE APEA,13420.0,80.0,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),4854,12,48.9,-0.2,,B17,B17,,1,PRIMARY TARGET,21.0,150.0,,,,,21.0,,,,,,,,,,21.0,,,,,,,21.0,21.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125650,102687.0,1944-06-06,ETO,9 AF,USA,7.0,FRANCE,FALAISE,BATTLE APEA,13420.0,80.0,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),4854,12,48.9,-0.2,,B17,B17,,1,PRIMARY TARGET,22.0,141.0,,,,,20.0,,,,,,,,,,20.0,,,,,,,22.0,22.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
